LC.X,LC.Y,LF1.X,LF1.Y,LF2.X,LF2.Y,LF3.X,LF3.Y,LF4.X,LF4.Y,LF5.X,LF5.Y,LCD,RC.X,RC.Y,RF1.X,RF1.Y,RF2.X,RF2.Y,RF3.X,RF3.Y,RF4.X,RF4.Y,RF5.X,RF5.Y,RCD,Frame Number, Geture Number
331,121,318,78,305,102,372,120,352,78,338,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
331,121,318,78,310,102,352,78,338,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
331,121,318,78,308,100,354,78,338,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
331,121,318,76,306,92,354,78,338,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
331,122,320,78,306,92,354,78,340,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
331,122,318,76,306,92,354,78,340,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
331,123,318,78,308,100,354,78,340,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
330,122,318,78,306,92,354,80,340,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5
331,122,318,78,308,102,354,80,340,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5
331,122,316,78,352,78,340,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5
330,122,316,78,352,80,338,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5
330,123,316,78,308,102,352,80,338,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5
330,123,318,78,302,94,354,82,340,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5
330,125,318,80,372,124,354,82,338,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5
329,125,316,80,304,94,354,82,338,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5
329,127,318,82,304,96,352,84,341,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5
330,129,318,84,304,100,372,128,354,86,340,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5
330,132,320,88,306,102,354,90,340,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5
330,135,318,90,304,104,374,134,354,92,340,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5
328,139,318,94,304,110,352,96,338,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5
327,142,316,96,302,112,350,100,336,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5
325,145,316,100,300,114,348,102,334,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5
325,150,300,118,366,148,350,106,337,102,314,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5
326,153,304,126,366,150,348,106,336,104,314,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5
325,156,300,122,350,110,336,108,314,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5
327,159,318,112,302,128,368,158,350,114,337,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5
328,163,318,116,304,136,368,162,352,116,339,112,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,27,5
329,165,318,116,372,162,350,120,338,114,0,0,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5
330,167,318,120,370,164,350,122,338,116,0,0,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5
329,171,318,126,306,144,366,168,352,128,338,118,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5
328,172,318,126,302,138,370,168,350,128,338,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5
329,175,318,128,303,150,371,173,350,130,338,124,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5
328,180,318,136,304,146,369,176,350,136,339,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,5
329,184,318,136,304,150,370,180,352,138,338,134,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,34,5
330,187,320,140,304,154,371,186,352,144,338,136,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5
330,190,320,142,304,154,372,188,354,146,338,140,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5
331,196,320,148,372,193,340,142,0,0,0,0,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5
331,196,318,146,306,168,373,192,350,158,340,144,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,38,5
332,198,318,150,308,172,372,192,352,156,338,148,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5
331,199,318,152,304,166,372,195,350,154,340,150,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,40,5
332,202,318,154,306,176,373,200,354,158,338,150,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5
332,203,318,156,310,180,373,198,352,158,341,154,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5
332,205,318,160,304,174,371,202,352,160,340,156,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,43,5
333,211,318,166,306,182,371,206,354,166,338,160,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,44,5
334,212,318,168,375,208,352,166,340,162,0,0,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5
335,215,320,172,308,188,372,212,354,170,340,166,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5
336,217,320,174,306,190,374,216,357,174,340,170,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,47,5
337,222,320,178,374,220,357,176,342,174,0,0,1483,0,0,0,0,0,0,0,0,0,0,0,0,0,48,5
338,224,320,180,376,220,357,178,340,174,0,0,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,49,5
338,227,320,184,375,223,358,185,342,180,0,0,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5
337,230,320,190,308,210,375,228,357,188,342,184,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,51,5

0
