LC.X,LC.Y,LF1.X,LF1.Y,LF2.X,LF2.Y,LF3.X,LF3.Y,LF4.X,LF4.Y,LF5.X,LF5.Y,LCD,RC.X,RC.Y,RF1.X,RF1.Y,RF2.X,RF2.Y,RF3.X,RF3.Y,RF4.X,RF4.Y,RF5.X,RF5.Y,RCD,Frame Number, Geture Number
341,168,334,124,308,160,380,146,364,136,349,120,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
340,169,334,124,308,160,378,148,362,140,349,120,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
341,168,334,124,308,160,374,152,366,126,348,118,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
340,168,332,122,308,160,374,152,366,126,348,118,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
341,168,334,122,308,160,376,150,366,126,348,118,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
340,168,332,122,310,162,374,150,364,126,346,118,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3
339,167,332,122,306,160,374,150,364,128,344,118,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3
338,167,332,122,306,160,364,128,344,118,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3
338,167,330,122,304,158,368,156,362,128,344,118,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3
338,168,332,122,306,160,370,156,364,128,346,118,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
339,166,330,122,304,158,378,146,364,126,347,120,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3
338,167,330,122,306,158,376,146,362,126,344,118,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3
335,166,328,120,302,158,360,124,342,118,0,0,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3
335,166,324,122,370,146,358,128,340,118,0,0,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3
332,166,324,122,298,158,370,144,354,134,338,118,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3
328,166,320,120,298,160,360,152,352,130,334,116,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3
323,164,314,120,292,162,356,148,346,124,328,116,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3
318,164,310,118,290,160,342,124,324,114,0,0,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3
318,163,308,118,288,162,354,142,340,122,322,116,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3
313,163,304,118,284,160,350,142,336,124,318,114,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3
309,163,300,118,278,156,344,144,332,120,314,116,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3
306,161,298,116,274,154,342,142,330,120,312,114,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,22,3
305,163,296,118,274,156,336,148,328,120,311,116,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3
301,163,268,154,338,146,324,122,309,116,294,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3
298,163,290,118,264,154,328,150,322,122,305,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3
295,162,286,118,262,154,324,150,320,120,302,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3
293,160,282,116,328,142,314,120,298,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3
288,160,275,118,254,154,322,142,310,120,292,114,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,28,3
284,160,320,140,306,120,286,112,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3
274,159,259,116,240,154,312,140,296,118,278,112,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3
271,159,260,116,234,152,308,138,292,118,274,112,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3
261,161,230,154,282,118,264,112,0,0,0,0,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3
258,160,246,116,294,138,276,116,260,114,0,0,1536,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3
251,161,240,116,220,156,284,140,272,118,256,115,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3
248,161,238,116,218,154,278,144,268,116,253,114,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3
245,160,212,152,280,136,264,116,249,114,232,114,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3
241,160,230,116,208,154,278,134,260,116,244,112,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3
235,161,226,116,202,152,256,116,240,112,0,0,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3
232,161,222,116,194,151,264,140,254,116,237,114,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3
231,162,220,116,198,154,262,140,252,116,235,114,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3
228,162,216,116,194,150,262,138,248,116,230,114,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3
224,161,214,116,192,152,260,136,244,118,228,114,1529,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3
220,161,210,116,192,152,250,144,240,116,224,114,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3
220,160,208,116,188,152,256,136,238,114,223,114,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3
215,156,204,116,180,152,252,136,234,116,218,112,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3
211,157,198,116,177,152,246,136,230,116,212,110,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3
209,161,194,116,178,155,242,136,226,116,208,112,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3

0
