LC.X,LC.Y,LF1.X,LF1.Y,LF2.X,LF2.Y,LF3.X,LF3.Y,LF4.X,LF4.Y,LF5.X,LF5.Y,LCD,RC.X,RC.Y,RF1.X,RF1.Y,RF2.X,RF2.Y,RF3.X,RF3.Y,RF4.X,RF4.Y,RF5.X,RF5.Y,RCD,Frame Number, Geture Number
220,167,204,126,195,156,236,126,222,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
221,167,206,126,195,154,236,126,222,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
220,167,206,128,190,144,236,124,222,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
220,166,206,126,190,144,236,124,222,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
220,167,204,126,190,144,236,124,224,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
220,167,206,128,190,142,236,124,224,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4
221,167,208,128,192,144,236,122,224,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
223,167,210,126,192,144,240,126,226,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
225,168,207,136,198,148,240,124,226,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
225,168,212,136,196,144,240,122,228,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
226,168,214,136,196,144,240,122,228,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
228,165,214,126,200,148,244,122,230,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4
231,164,216,124,201,148,246,124,234,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4
233,164,218,124,204,144,248,122,236,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4
237,164,222,122,212,146,252,122,240,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4
239,164,224,122,208,138,256,122,242,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4
242,162,228,120,214,140,260,120,246,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4
248,162,234,122,222,144,266,120,250,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4
250,162,236,120,266,120,254,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4
256,161,244,120,228,136,276,120,260,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4
258,163,244,120,236,148,276,120,262,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4
261,162,246,120,232,138,280,120,266,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4
264,162,250,118,236,136,282,118,268,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4
266,163,236,136,284,122,270,118,252,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4
270,162,256,118,240,136,288,120,276,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4
274,161,260,118,244,136,292,118,278,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4
275,161,262,118,248,136,294,118,282,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4
282,162,268,118,252,136,298,118,286,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4
286,163,272,120,256,136,306,120,290,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4
289,163,276,120,260,136,336,162,306,118,292,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,4
293,163,278,118,264,136,339,162,310,118,298,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4
294,163,280,118,264,136,339,162,312,120,301,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,4
299,164,284,120,270,136,337,162,316,118,304,116,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4
303,164,288,118,276,140,344,160,320,118,306,116,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4
306,162,278,138,350,160,322,116,311,116,290,116,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4
307,161,294,116,278,132,350,160,324,116,313,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4
309,160,296,114,284,138,326,114,314,112,0,0,1522,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4
320,161,291,140,362,158,338,116,325,114,306,114,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4
330,162,302,134,371,158,348,114,335,114,316,114,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4
332,162,318,116,304,132,373,158,350,114,336,114,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4
336,161,322,116,308,132,377,158,354,116,340,114,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4
340,161,312,130,377,158,358,116,346,114,326,114,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,46,4
342,161,314,130,389,160,362,116,348,115,328,114,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,47,4
348,162,334,116,320,136,392,160,366,118,353,114,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,48,4
350,162,336,118,322,132,396,160,368,116,355,114,1515,0,0,0,0,0,0,0,0,0,0,0,0,0,49,4
355,162,342,116,328,132,397,160,374,118,360,114,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,50,4
361,162,348,118,334,138,380,118,364,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,4
364,164,350,118,338,136,402,162,382,122,368,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,4
367,165,352,120,340,138,413,164,386,118,370,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,4
374,166,360,122,416,164,392,118,376,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4
380,166,364,122,396,120,380,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4

0
