LC_X,LC_Y,LF_X_1,LF_X_2,LF_X_3,LF_X_4,LF_X_5,LF_Y_1,LF_Y_2,LF_Y_3,LF_Y_4,LF_Y_5,LD,RC_X,RC_Y,RF_X_1,RF_X_2,RF_X_3,RF_X_4,RF_X_5,RF_Y_1,RF_Y_2,RF_Y_3,RF_Y_4,RF_Y_5,RD,Gesture
-20,-6,-19,-5,-21,0,-18,2,-20,2,-16,-4,-3,22,1,13,1,11,2,6,1,4,6,3,3,5,ZoomIn
-17,-3,-13,-2,-7,-1,-6,1,-7,-1,-7,1,0,15,-1,10,2,9,4,6,4,5,0,7,-2,3,ZoomIn
-12,5,-13,4,-13,5,-8,5,-11,3,-10,1,1,10,-6,9,0,5,-1,0,-4,4,0,2,2,-1,ZoomIn
-17,0,-13,-2,-6,0,-8,1,-8,1,-7,2,-1,19,-1,11,3,9,4,6,1,10,-1,9,-1,1,ZoomIn
-18,-2,-12,-3,-12,0,-13,1,-8,1,-10,0,-2,16,3,15,-1,16,3,10,2,12,2,7,-1,2,ZoomIn
-19,-1,-14,-1,-10,2,-14,-2,-9,0,-12,-1,0,23,5,7,3,9,0,4,1,12,1,6,1,9,ZoomIn
-19,-3,-8,0,-14,0,-8,2,-10,1,-11,0,0,17,0,7,-1,10,-3,10,1,10,-1,6,1,-1,ZoomIn
-17,-6,-13,1,-14,-1,-11,-2,-12,-1,-11,-2,-1,21,0,11,-1,11,3,9,-3,7,-2,7,1,-5,ZoomIn
-16,-8,-12,-1,-10,-1,-10,-3,-9,-1,-9,-6,-2,18,2,12,-4,9,-2,8,1,8,-2,4,-1,0,ZoomIn
-14,-6,-6,1,-5,2,-8,-2,-8,2,-10,1,0,16,1,9,-1,4,0,10,-4,10,1,7,0,4,ZoomIn
-16,-3,-7,-5,-9,-2,-10,1,-6,-2,-5,-1,-4,13,1,11,1,7,1,4,2,2,5,-1,-2,3,ZoomIn
-19,-8,-11,-2,-15,-3,-13,0,-11,-3,-11,-2,0,19,-2,13,0,8,1,10,0,7,0,4,-2,4,ZoomIn
-6,0,-8,3,-5,0,-7,-3,-9,-1,-9,-1,0,26,3,17,0,10,2,11,3,9,4,12,3,-1,ZoomIn
-15,-6,-3,0,1,-1,-1,-1,-3,3,-2,-1,-1,12,-3,13,0,4,-1,9,-3,4,-3,9,-3,1,ZoomIn
-14,-2,-10,0,-11,0,-14,-2,-14,0,-13,1,-1,24,5,16,5,16,1,13,1,12,4,10,3,6,ZoomIn
-18,-5,-10,0,-8,2,-7,0,-9,0,-7,-2,-4,21,0,14,1,11,4,10,3,10,1,9,1,-4,ZoomIn
-17,-6,-9,-1,-5,2,-6,-1,-7,0,-7,0,-3,15,5,12,3,8,1,5,-1,4,0,5,-1,-1,ZoomIn
-21,-5,-19,0,-18,4,-17,-1,-17,-1,-17,1,0,22,-1,14,2,10,-5,4,1,5,2,4,2,2,ZoomIn
-20,-3,-9,-2,-7,0,-8,-7,-7,-3,-8,0,-3,19,1,8,-3,12,-2,5,1,4,4,4,2,2,ZoomIn
-11,-6,-8,-2,-15,1,-9,-2,-10,0,-11,-5,0,26,-1,14,1,11,1,10,1,10,1,7,-2,3,ZoomIn
-20,-8,-11,-4,-14,-5,-14,-4,-14,-2,-14,-5,0,18,-5,13,-3,7,1,2,0,4,1,2,1,-3,ZoomIn
-20,-3,-13,0,-14,1,-9,2,-12,-1,-11,-3,-1,19,-1,9,3,9,1,5,0,2,-2,2,-3,7,ZoomIn
-16,-4,-13,-2,-15,1,-16,-3,-14,-3,-15,3,2,21,3,11,1,18,4,17,5,12,3,10,4,8,ZoomIn
-15,-4,-6,-1,-8,-4,-7,-4,-6,-2,-8,-2,3,13,-4,8,2,6,5,2,0,5,-1,0,-2,-1,ZoomIn
-13,-4,-8,-2,-8,-2,-6,3,-5,1,-5,0,-2,23,0,17,2,7,-1,8,1,4,2,2,-2,-2,ZoomIn
-18,-3,-7,5,-8,-2,-9,2,-7,0,-8,0,-2,18,7,12,0,7,1,9,3,4,3,2,1,3,ZoomIn
-16,-6,-11,-2,-11,-2,-5,-3,-6,1,-10,-4,0,20,-1,8,-1,9,1,9,7,8,0,1,0,-2,ZoomIn
-22,-2,-7,-2,-9,-1,-6,2,-8,-1,-7,0,0,19,0,13,-3,14,-3,11,5,10,1,6,0,-3,ZoomIn
-20,-3,-13,1,-11,1,-15,1,-9,-3,-11,-2,0,21,-1,11,-2,10,-1,8,2,14,0,11,-2,5,ZoomIn
-19,-3,-15,-2,-17,0,-18,-1,-12,-3,-14,-3,0,22,-2,11,1,12,-5,12,-2,3,-5,6,-3,-3,ZoomIn
-15,-2,-5,-2,-5,-2,-5,0,0,0,-3,2,-2,20,-2,9,1,13,3,12,0,4,4,2,0,3,ZoomIn
-7,-2,-6,1,-3,-1,-3,-2,0,0,0,0,-4,8,4,6,5,1,3,1,6,-1,2,0,0,2,ZoomIn
-17,0,-8,3,-10,-4,-2,-1,0,0,0,0,-1,14,3,9,0,6,1,-4,-1,-1,-1,0,0,6,ZoomIn
-14,-7,-13,-3,-8,-4,-7,-4,0,-2,0,0,3,13,-1,5,0,1,-2,5,-3,1,0,0,0,4,ZoomIn
-17,-6,-14,-3,-6,-3,-10,-2,-4,1,1,0,1,14,-3,11,-1,7,-1,3,-2,3,-1,-1,-4,7,ZoomIn
-18,-4,-17,3,-10,-2,-13,-4,-7,-3,-1,-1,2,13,0,8,3,11,2,3,-3,5,-2,3,-2,4,ZoomIn
-9,-4,-12,-5,-6,-2,-4,-4,0,0,0,1,7,9,2,3,-1,2,-1,0,1,1,2,0,-1,4,ZoomIn
-14,3,-11,4,-9,-1,-14,0,-13,0,0,0,5,13,-4,7,-1,3,2,8,0,8,-3,5,-1,0,ZoomIn
-5,-3,-6,-3,-3,2,-5,-3,-7,0,-6,-2,0,4,-1,4,-3,3,2,1,3,-1,-1,1,-2,1,ZoomIn
-7,-1,-2,-2,-1,-2,-4,3,-3,1,1,0,-1,5,-3,3,0,1,0,3,-1,-1,-2,0,0,-1,ZoomIn
-14,-4,-14,1,-5,-5,-12,-5,-11,-3,0,0,0,14,-1,6,-3,-1,0,3,1,2,1,1,0,-1,ZoomIn
-14,1,-15,1,-10,2,-8,1,-12,1,-11,2,0,15,-3,13,0,-1,-3,9,3,11,1,9,-1,3,ZoomIn
-5,-2,-1,0,-2,-2,9,0,4,0,-2,0,1,6,-5,3,-4,2,-1,-1,-4,0,-2,0,0,-1,ZoomIn
4,1,3,1,0,4,0,4,-3,-1,-1,0,-1,-1,-2,0,-2,-2,-2,-1,0,0,-1,0,0,-2,ZoomIn
-16,-1,-11,-1,-6,-1,-6,-2,-11,-2,-9,-5,0,21,-2,13,0,6,-4,6,3,3,0,1,-1,-3,ZoomIn
-8,-4,-9,0,-4,0,-9,-4,-8,-3,0,0,0,16,-2,7,0,4,-2,5,5,7,0,0,0,0,ZoomIn
-8,-3,-6,-6,-4,-3,-5,-1,-8,-2,0,0,-4,17,0,5,0,7,4,7,3,5,4,0,0,0,ZoomIn
-17,-3,-12,2,-10,-2,-5,-1,-5,2,-2,-2,-8,16,1,6,1,14,2,5,1,8,4,0,0,1,ZoomIn
-14,0,-6,0,0,3,-6,1,-4,2,-2,-2,0,15,-2,7,-1,8,2,10,0,12,0,0,0,0,ZoomIn
-25,-4,-10,1,-12,-4,-11,-3,-4,-2,-5,-1,0,27,2,20,-2,18,7,19,4,19,4,0,0,0,ZoomIn
19,-3,7,-3,12,-2,11,-1,7,-1,8,-2,0,-12,-6,-1,-2,-6,-1,-4,1,4,1,-1,-5,0,ZoomOut
25,8,3,0,7,-1,6,-3,2,-2,5,-3,-1,-10,2,-5,-4,-3,-2,2,6,3,0,0,0,-4,ZoomOut
24,-4,15,-3,10,-4,14,3,12,-1,11,-1,0,-21,-8,-14,-6,-9,0,-1,-4,-2,1,0,0,-1,ZoomOut
22,1,19,1,14,1,18,-5,21,1,20,-1,0,-23,-8,-10,-6,-10,-1,-4,-4,-2,-2,1,1,-5,ZoomOut
26,5,9,0,10,2,13,-4,7,-2,10,-2,-1,-25,0,-7,-4,-9,-3,-6,1,-8,2,0,0,-4,ZoomOut
10,12,5,2,2,2,4,1,2,2,3,0,-1,-15,-11,-6,-5,-8,-1,-6,-5,-6,-6,-2,-2,-7,ZoomOut
20,1,9,0,13,3,11,-2,10,3,4,-1,0,-20,-6,-6,-4,-8,-4,-8,-1,-7,1,1,0,-3,ZoomOut
18,4,5,0,8,-2,3,0,8,-2,4,-1,1,-24,-6,-12,0,-7,-1,-4,-3,2,-1,0,0,-4,ZoomOut
21,1,9,2,8,0,9,-3,8,2,1,-2,0,-22,-7,-4,1,-4,-1,-6,-1,-1,1,0,0,-4,ZoomOut
18,1,8,1,9,2,9,0,8,0,1,-1,0,-17,-4,-6,5,-4,-5,-4,-1,0,0,-1,0,-5,ZoomOut
18,-3,9,1,8,4,10,-3,8,-5,6,4,1,-21,-5,-6,0,-6,-1,-1,-2,-2,-1,0,0,-8,ZoomOut
24,9,13,1,17,3,18,2,18,7,15,2,-6,-18,-3,-9,0,-9,-1,-10,-1,-5,0,0,0,-10,ZoomOut
15,6,7,4,14,5,9,0,8,2,8,1,0,-16,-3,-5,-4,-9,-2,-10,2,-7,-2,-6,-7,-3,ZoomOut
11,-8,3,-3,7,-6,3,-9,1,-6,1,-8,-4,-20,3,-8,-1,-7,-4,-4,4,-1,-2,0,3,-9,ZoomOut
18,1,6,3,5,1,3,1,4,1,4,0,-1,-14,-5,-4,1,-3,2,-3,-1,1,0,0,0,-2,ZoomOut
19,5,8,2,12,1,10,-5,10,0,8,-2,-2,-22,-9,-10,-2,-7,-5,-5,-4,2,-1,0,-2,-6,ZoomOut
24,0,12,4,10,0,10,-1,8,1,0,0,-3,-23,-1,-17,4,-13,-5,-4,-4,-3,-1,0,0,-5,ZoomOut
21,6,8,3,13,-1,15,1,11,-2,3,-1,0,-21,-8,-8,0,-4,1,0,-5,-5,-4,-1,-1,-6,ZoomOut
15,10,8,3,8,1,9,5,9,3,11,3,-1,-16,2,-6,0,-10,2,-3,-1,-6,-1,-1,0,1,ZoomOut
16,1,9,2,7,2,11,-1,9,0,8,0,0,-15,-10,-10,-1,-6,-7,-8,-5,-2,-3,1,0,-6,ZoomOut
14,3,3,4,7,0,6,0,6,2,4,0,-3,-18,-9,-12,-1,-5,0,-5,0,-2,1,0,0,-3,ZoomOut
20,1,4,4,3,-3,3,-2,4,-4,1,0,-6,-21,-9,-14,-4,-7,-1,-2,-2,0,2,0,0,-11,ZoomOut
22,2,7,1,2,3,5,0,6,-4,2,0,-1,-19,-4,-13,0,-3,-2,-1,3,-2,-1,0,0,-4,ZoomOut
19,7,9,1,10,1,12,1,5,2,0,0,1,-22,-1,-3,-1,-5,-6,-2,4,-1,0,0,0,-8,ZoomOut
17,0,5,-3,6,1,7,4,2,3,-1,0,-1,-19,-4,-8,-3,-7,-1,-3,-2,0,2,1,1,-10,ZoomOut
20,3,6,2,9,4,7,-1,3,1,0,0,-5,-16,-4,-8,-1,-5,-7,-6,-3,1,0,0,0,-10,ZoomOut
19,3,10,2,12,-3,11,1,14,5,0,0,2,-16,-5,-4,-1,-8,6,0,-4,-2,-2,-1,-1,-5,ZoomOut
24,2,20,-1,20,1,21,-3,19,-1,17,-1,-1,-20,-2,-15,-1,-12,6,-7,-2,-5,-4,-6,-5,-6,ZoomOut
16,3,5,2,8,-1,4,0,6,-6,1,0,0,-14,-1,-8,0,-11,1,-8,3,-2,2,-1,-2,-14,ZoomOut
26,-2,6,-1,9,0,10,-3,10,1,4,-1,-2,-25,-3,-11,-5,-9,-2,-7,-1,-4,-6,-3,-1,-8,ZoomOut
17,11,8,2,7,5,6,1,9,1,6,-1,-7,-14,3,-6,4,-4,1,3,-1,-4,1,2,0,-8,ZoomOut
12,-1,10,-1,5,0,8,-1,10,3,8,1,-7,-18,-1,-9,-1,-4,0,-6,-2,-8,-4,-6,0,1,ZoomOut
13,2,5,-1,-3,-3,1,0,2,0,4,1,-1,-13,2,-3,0,-4,-2,-3,2,-4,1,-4,0,-4,ZoomOut
19,1,15,1,6,-1,8,1,11,1,11,1,1,-20,-2,-13,-2,-13,-1,-9,-3,-11,0,-15,1,-2,ZoomOut
18,1,13,1,6,-1,4,2,11,-1,8,-1,0,-20,-2,-9,-1,-10,-1,-6,-4,-9,0,-7,-2,-3,ZoomOut
12,0,7,0,1,1,6,1,5,-2,9,1,0,-15,-4,-7,-2,-1,-5,-5,-2,-2,0,-7,1,-4,ZoomOut
14,-2,10,2,3,1,8,-2,6,0,4,-2,-3,-15,-5,-7,-3,-7,-2,-7,-6,-7,-2,-3,-4,1,ZoomOut
16,6,15,4,4,-4,4,-1,3,-1,1,0,-2,-16,0,1,4,-3,1,-6,1,-6,1,-2,4,-2,ZoomOut
8,4,10,-1,5,1,7,0,5,2,1,0,-1,-10,-3,-5,0,-7,-1,-4,-2,-4,-1,-1,3,-4,ZoomOut
16,0,11,0,1,-5,7,-3,5,-3,5,0,-1,-19,-4,-8,-1,-11,2,-7,1,-12,-5,-9,-3,-10,ZoomOut
16,0,10,-4,8,-3,9,-3,13,2,11,-1,0,-17,-4,-7,-4,-4,-4,-4,-1,-6,2,-2,-1,-8,ZoomOut
14,0,5,1,5,0,2,-5,7,1,4,-1,1,-11,1,-2,-2,-2,-2,-2,-1,-1,1,-3,0,-1,ZoomOut
6,1,4,0,-1,-2,1,3,4,-1,2,1,0,-10,-3,-1,0,1,-2,-1,1,0,0,0,0,-6,ZoomOut
18,2,12,-1,7,2,-1,0,5,-5,-1,3,1,-15,-3,-2,0,-3,1,-2,-3,0,0,0,0,-1,ZoomOut
23,-2,6,1,9,1,5,3,5,-1,0,0,0,-19,-5,-7,2,-1,-3,-6,-3,0,0,0,0,-4,ZoomOut
12,2,7,0,3,-2,-1,0,0,-6,2,-1,0,-16,-5,-6,0,-4,0,-2,2,0,0,0,0,-1,ZoomOut
21,-1,12,-3,5,-5,3,-4,5,-2,4,-3,0,-15,1,-3,0,0,-1,-3,0,-3,0,0,0,-7,ZoomOut
21,-1,14,-1,8,3,3,-5,6,0,6,-3,0,-9,4,-2,-1,5,2,2,2,1,1,0,0,-7,ZoomOut
18,0,10,0,2,-3,10,0,9,3,8,-2,0,-15,-7,-4,-2,-1,0,-3,2,-3,-3,0,0,-10,ZoomOut
18,-3,11,-3,10,-3,12,-3,7,-3,8,1,0,-10,-2,-2,0,-1,-1,2,2,0,-1,0,0,-6,ZoomOut
-18,-4,-11,-1,-7,-5,-9,0,-11,-2,-9,-3,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-24,-16,-14,-6,-10,-8,-11,-5,-12,-9,-7,-7,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-28,-10,-17,-3,-16,-2,-7,-3,-9,-1,-4,1,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-25,-6,-10,-3,-8,-2,-6,-1,-4,2,0,-2,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-13,0,-8,2,-5,-1,-8,-2,-6,-2,-2,2,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-18,-2,-5,0,-10,-4,-5,-3,-2,1,1,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-24,-3,-8,-7,-9,-3,-1,0,1,3,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-7,-5,-2,-2,4,4,1,1,1,-2,2,-4,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-26,-3,-16,-4,-10,3,-6,0,0,0,0,0,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-22,-5,-9,3,-7,3,-7,-3,0,0,-3,0,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-28,-4,-7,-3,-6,-2,-7,-2,-6,-5,-1,1,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-21,-2,-12,-3,-10,-2,-7,-2,-3,1,-2,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-20,-12,-18,-1,-9,1,-7,-3,-2,1,-2,-1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-23,0,-13,-3,-7,-5,-8,2,-7,2,-3,-2,-18,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-24,-4,-14,3,-11,-1,-2,-1,-1,1,0,0,-17,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-20,-4,-11,5,-12,-1,-8,-3,-6,-1,-4,-2,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-29,9,-16,3,-15,6,-20,-3,-17,3,-21,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-17,2,-9,-3,-11,1,-10,-1,-7,0,-6,-1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-20,3,-9,4,-8,1,-5,-2,-6,-2,-6,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-27,0,-17,0,-9,0,-17,-5,-14,0,-6,1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-18,1,-4,-1,-8,-3,-3,4,-4,0,-1,-1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-28,2,-16,2,-14,0,-18,-1,-18,-4,-9,-1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-15,-1,-5,4,-6,-1,-8,2,-4,5,-1,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-12,2,-5,0,-5,2,-5,0,-5,2,0,3,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-29,6,-17,0,-13,-3,-13,1,-15,-2,-9,-1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-11,1,-6,0,-8,1,-7,-2,-8,0,-10,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-25,5,-7,1,-12,3,-9,2,-9,1,-1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-20,1,0,-5,-5,-3,-6,0,-2,2,-3,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-26,0,-12,-1,-15,-6,-14,-2,-13,1,-11,-1,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-12,2,-5,2,0,1,-6,0,-5,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-23,-1,-6,-2,-8,0,-5,0,-8,-2,-4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-17,-3,-17,-4,-15,-2,-3,-2,-14,-1,-11,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-20,-6,-18,-5,-11,0,-7,0,-14,-2,-12,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-20,-3,-18,-3,-16,-5,-10,-3,-11,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-19,-6,-15,-3,-8,-1,-9,2,-9,-3,-9,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-16,-6,-12,-4,-10,1,-6,3,-7,-2,-9,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-5,-2,-6,-1,-1,-2,0,0,-1,0,-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-19,-5,-13,-2,-4,2,-5,0,-11,-3,-12,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-15,-6,-11,-3,-11,2,-6,4,-6,0,-4,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-13,-9,-5,-1,-5,1,-3,-3,-5,-4,-2,-5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
