LC.X,LC.Y,LF1.X,LF1.Y,LF2.X,LF2.Y,LF3.X,LF3.Y,LF4.X,LF4.Y,LF5.X,LF5.Y,LCD,RC.X,RC.Y,RF1.X,RF1.Y,RF2.X,RF2.Y,RF3.X,RF3.Y,RF4.X,RF4.Y,RF5.X,RF5.Y,RCD,Frame Number, Geture Number
307,181,309,174,0,0,0,0,0,0,0,0,1376,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
389,197,376,132,347,169,422,150,406,132,388,128,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
259,191,262,128,238,142,308,172,295,134,274,122,984,389,197,376,132,352,176,421,150,404,132,388,128,1004,3,1
259,191,260,128,238,142,307,172,295,134,274,122,984,389,199,376,132,352,176,422,150,404,134,390,130,1004,4,1
259,191,258,128,238,142,306,172,294,132,274,124,978,389,199,347,169,422,150,406,134,394,132,376,132,1004,5,1
259,190,258,128,234,140,307,172,296,132,274,122,984,389,199,346,168,424,150,406,132,395,132,376,132,1004,6,1
259,189,258,126,236,140,310,174,295,132,274,122,984,389,198,376,132,346,168,422,150,406,134,392,128,1004,7,1
258,190,258,124,234,140,306,170,295,132,274,120,0,389,197,376,132,346,168,422,150,406,136,392,128,1001,8,1
258,190,258,128,234,138,306,170,295,134,276,120,0,390,200,378,134,348,170,404,134,392,130,0,0,1001,9,1
259,188,256,126,232,138,308,170,294,132,272,118,978,390,198,376,134,350,172,422,148,406,134,394,130,1001,10,1
254,190,256,126,230,138,300,172,290,136,270,118,0,393,200,380,134,348,172,412,136,396,130,0,0,1001,11,1
250,189,250,122,224,136,296,172,284,132,266,120,0,398,200,386,134,356,172,430,150,418,136,403,132,1001,12,1
246,189,246,122,220,136,292,172,282,134,262,118,0,402,201,358,170,436,150,413,136,392,136,0,0,1004,13,1
243,189,242,122,218,138,288,172,276,136,260,118,0,406,200,364,172,442,150,417,138,397,138,0,0,1001,14,1
242,189,242,124,216,138,288,168,274,128,256,116,0,407,192,398,130,366,172,444,150,428,134,412,128,1001,15,1
239,187,238,124,212,134,284,166,274,130,254,118,0,411,186,402,130,370,172,434,134,420,128,0,0,1001,16,1
237,187,234,122,210,136,282,168,270,126,252,118,0,414,185,406,130,374,172,450,150,434,132,422,126,998,17,1
234,187,232,122,206,136,280,168,268,126,248,116,0,418,186,410,130,376,172,422,126,0,0,0,0,1001,18,1
