LC.X,LC.Y,LF1.X,LF1.Y,LF2.X,LF2.Y,LF3.X,LF3.Y,LF4.X,LF4.Y,LF5.X,LF5.Y,LCD,RC.X,RC.Y,RF1.X,RF1.Y,RF2.X,RF2.Y,RF3.X,RF3.Y,RF4.X,RF4.Y,RF5.X,RF5.Y,RCD,Frame Number, Geture Number
187,202,175,152,164,160,224,194,210,154,194,138,0,451,185,418,168,486,168,476,130,460,122,446,120,1019,1,2
187,203,180,150,166,160,224,194,210,154,196,140,0,452,186,418,166,488,164,474,128,462,122,448,122,1013,2,2
186,204,164,162,224,190,210,152,194,140,0,0,0,454,186,420,166,478,128,466,122,448,122,0,0,1010,3,2
184,201,178,148,162,162,222,190,208,150,192,140,0,454,187,420,168,490,166,478,128,466,122,450,122,1004,4,2
182,202,174,148,160,160,220,188,204,162,190,136,1040,454,188,420,168,490,164,480,130,466,120,448,120,1007,5,2
179,197,172,142,158,156,218,184,202,144,186,132,0,453,190,448,126,420,172,490,164,480,134,466,124,1001,6,2
176,194,170,142,154,150,212,182,200,142,184,130,1013,452,192,418,174,490,166,478,134,464,128,450,126,0,7,2
173,191,168,136,152,148,212,180,196,138,182,126,1013,452,193,418,174,490,166,478,140,464,128,446,126,1010,8,2
171,188,148,146,208,176,194,136,180,124,0,0,1007,452,196,418,172,492,164,476,140,466,134,446,130,1013,9,2
169,187,139,146,208,174,192,134,176,122,0,0,1001,451,197,418,174,490,164,476,150,466,134,450,132,1013,10,2
169,184,162,128,144,140,206,170,192,130,178,118,998,449,198,418,176,484,142,450,134,0,0,0,0,1007,11,2
170,185,157,128,146,142,208,170,192,130,176,118,0,448,197,416,180,474,148,464,134,448,130,0,0,1007,12,2
173,183,161,126,148,136,212,170,198,128,180,116,990,447,196,414,178,484,172,474,140,458,130,0,0,1001,13,2
174,183,168,124,150,136,214,168,198,126,184,118,993,447,194,412,180,484,170,472,138,458,128,0,0,0,14,2
178,182,174,124,156,138,220,168,204,128,188,114,987,444,194,408,174,480,174,472,140,458,130,0,0,1004,15,2
183,180,160,132,226,164,210,124,192,112,0,0,981,442,194,408,176,480,164,468,140,452,128,0,0,1001,16,2
188,180,184,120,166,134,230,168,214,122,198,110,981,440,195,438,130,402,174,480,158,466,150,450,128,1001,17,2
190,180,186,118,168,132,232,162,216,122,200,108,0,439,195,436,132,404,174,476,164,464,148,452,128,1001,18,2
195,180,174,130,238,162,222,120,204,120,192,118,0,436,194,429,130,400,172,472,164,446,126,0,0,998,19,2
